Titel,text,källa
 En svensk kontextualisering ,"Kvinnor är i större utsträckning mer oroade för väpnade konflikter än vad män är, 65 % i jämförelse med 53 %. 85 % av kvinnor tror att det kommer ske ett militärt angrepp mot Sverige, motsvarande 53 % av männen. I kombination med detta anser 74 % av personerna i undersökningen att säkerheten i Sverige minskat det senaste året. ",Myndigheten för psykologiskt försvar (2026). Årsredovisning 2025.
 En svensk kontextualisering ,“En majoritet (81 procent) anser att säkerheten i världen har minskat under det senaste året. Det är en ökning med 3 procentenheter sedan mätningen hösten 2024. Endast 8 procent anser att säkerheten i världen har ökat. Motsvarande siffra för nollmätningen var 7 procent.”,"Myndigheten för civilt försvar (2025). Effektmätning Broschyren Om krisen eller kriget kommer, 2024"
 En svensk kontextualisering ,Kvinnor upplever att nyhetsrapporteringen kring det säkerhetspolitiska läget i Sverige har bidragit till en större oro.,Myndigheten för civilt försvar (2024). Effektmätning: Medias nyhetsrapportering om att det kan bli krig i Sverige
BILD,"Flyktfåglar, Marie-Louise Ekman, 2015",bild-2
Maskulinitet och kvinnlighet i krig,"I krigstider blir patriarkala strukturer starkare, eftersom krigets form utgår från att männen är aggressiva och dominanta, och att kvinnor är passiva och ibland submissiva. Sådana strukturer kan i sin tur leda till sexuellt våld som en krigstaktik för att skapa makt över kvinnor.","Myndigheten för civilt försvar (2025). Effektmätning Broschyren Om krisen eller kriget kommer, 2024
Myndigheten för civilt försvar (2024). Effektmätning: Medias nyhetsrapportering om att det kan bli krig i Sverige
"
BILD,"Untitled (You pledge allegiance to your dick and to the pussy for which it stands) (vänster) with Untitled (All violence is the illustration of a pathetic stereotype) (höger), Barbra Kruger, 1991
",bild-7
Maskulinitet och kvinnlighet i krig,Svenska kvinnor uppger i större utsträckning att de har planerat sin hemberedskap. Kvinnor talar även mer med andra om sin beredskap. De känner alltså i större utsträckning än män ansvar för sin och sina näras beredskap.,United Nations Institute for Disarmament Research (2023). Addressing Weapons in Conflict-related Sexual Violence: The Arms Control and Disarmament Toolbox
Maskulinitet och kvinnlighet i krig,"Samtidigt ser män sig själva som en del av Sveriges militära beredskap i större utsträckning än vad kvinnor gör, samt att de vet vad de förväntas göra i händelse av krig. Allt detta tyder på hur patriarkala strukturer blir starkare i krigstider, att kvinnor tänker på hemmet och sina näras beredskap, medan män har ett militärt intresse.","Myndigheten för civilt försvar (2025). Effektmätning Broschyren Om krisen eller kriget kommer, 2024
Myndigheten för civilt försvar (2024). Effektmätning: Medias nyhetsrapportering om att det kan bli krig i Sverige"
Maskulinitet och kvinnlighet i krig,“Men with patriarchal values are more likely to self-select into organized violence through participation in paramilitaries.”,"Elin Bjarnegård, Anders Engvall, Srisompob Jitpiromsri and Erik Melander. (2023) Armed Violence and Patriarchal Values: A Survey of Young Men in Thailand and Their Military Experiences. American Political Science Review"
Maskulinitet och kvinnlighet i krig,"Crucifixion, Gladys Hynes, 1939",bild-3
Våld i krig,"“Ju mer intensiv konflikten är i närområdet, desto större är risken att kvinnor också utsätts för våld av sina partners eller före detta partners.”
",Signe Svallfors (2021). Bodies and Battlefields: Sexual and Reproductive Health and Rights in the Colombian Armed Conflict. Stockholms Universitet. Stockholm.
Våld i krig,"Krig förvärrar redan existerande strukturella förtryck. Kvinnor i krig utsätts ofta för våld av sina anhöriga som ett resultat av mäns upplevda maktlöshet och rädsla. Våldet infinner sig i såväl privata som offentliga miljöer och utförs av både militär och civila. Samtidigt begränsas kvinnors levnadsutrymme, frihet och tillgång till det offentliga rummet, något som skapar otrygghet.
","Linda Jolof, Patricia Rocca, Tommy Carlsson (2022). Mitt hjärtas syster: Upplevelser av krig, tortyr och/eller flykt bland kvinnor och interventioner anpassade för dem – en litteraturstudie. Röda Korsets kompetenscenter för tortyr- och krigsskaderehabilitering."
BILD,"To Be A Mother,To Lose A Child, Malak Mattar, 2025",bild-5
