Titel,text,källa
 En svensk kontextualisering ,"Kvinnor är i större utsträckning oroade för väpnade konflikter än vad män är, 65% i jämförelse med 53%. Även 85% av kvinnor tror att det kommer ske ett militärt angrepp på Sverige, medan endast 53% av männen tror detta. I kombination med detta anser 74% av personerna i undersökningen att säkerheten i Sverige minskat det senaste året.",Myndigheten för psykologiskt försvar (2026). Årsredovisning 2025.
 En svensk kontextualisering ,"“Kvinnor uppvisar i högre grad stor oro för krig i vår närhet, 54%
jämfört med 40% bland män.”",Myndigheten för psykologiskt försvar (2026). Årsredovisning 2025.
Maskulinitet och kvinnlighet i krig,"I krigstider blir patriarkala strukturer starkare, eftersom krigets form utgår från att männen är aggressiva och dominanta, och att kvinnor är passiva, och ibland submissiva. Sådana strukturer kan i sin tur leda till sexuellt våld som en krigstaktik för att skapa makt över kvinnor.","United Nations Institute for Disarmament Research (2023). Addressing Weapons in Conflict-related Sexual Violence: The Arms Control and Disarmament Toolbox
"
Maskulinitet och kvinnlighet i krig,"Svenska kvinnor uppger i större utsträckningen att de har planerat sin hemberedskap. Kvinnor talar även mer med andra som sin beredskap, de känner alltså i större utsträckning än män ansvar för sin och sina näras beredskap. Samtidigt ser män sig som en del av Sveriges beredskap i större utsträckning än vad kvinnor gör, och att de vet vad de förväntas göra i händelser av krig. Allt detta tyder på hur patriarkala strukturer blir starkare i krigstider. Att kvinnor tänker på hemmet och sina näras beredskap, medan män har ett militärt intresse. ","Myndigheten för civilt försvar (2025). Effektmätning Broschyren Om krisen eller kriget kommer, 2024. Myndigheten för civilt försvar (2024). Effektmätning: Medias nyhetsrapportering om att det kan bli krig i Sverige"
Maskulinitet och kvinnlighet i krig,“Men with patriarchal values are more likely to self-select into organized violence through participation in paramilitaries.”,"Elin Bjarnegård, Anders Engvall, Srisompob Jitpiromsri and Erik Melander. (2023) Armed Violence and Patriarchal Values: A Survey of Young Men in Thailand and Their Military Experiences. American Political Science Review"
Våld och krig,"“Ju mer intensiv konflikten är i närområdet, desto större är risken att kvinnor också utsätts för våld av sina partners eller före detta partners.”",Signe Svallfors (2021). Bodies and Battlefields: Sexual and Reproductive Health and Rights in the Colombian Armed Conflict. Stockholms Universitet. Stockholm.
Våld och krig,"Krig förvärrar reda existerade strukturella förtryck. Kvinnor i krig utsätts ofta för våld av sina anhöriga som ett resultat av mäns upplevda maktlöshet och rädsla. Våldet infinner sig i såväl privata som offentliga miljöer, och utförs av både militär och civila. Samtidigt begränsas kvinnprs levnadsutrymme, frihet och tillgång till de offentliga rummet, något som också kan minska tryggheten. ","Linda Jolof, Patricia Rocca, Tommy Carlsson (2022). Mitt hjärtas syster: Upplevelser av krig, tortyr och/eller flykt bland kvinnor och interventioner anpassade för dem – en litteraturstudie. Röda Korsets kompetenscenter för tortyr- och krigsskaderehabilitering."
Våld och krig,"“På gruppnivå har kvinnor mindre makt och färre friheter, de få som finns kan vara länkade till en man.”
","Linda Jolof, Patricia Rocca, Tommy Carlsson (2022). Mitt hjärtas syster: Upplevelser av krig, tortyr och/eller flykt bland kvinnor och interventioner anpassade för dem – en litteraturstudie. Röda Korsets kompetenscenter för tortyr- och krigsskaderehabilitering. "
Våld och krig,"“Att leva i krig eller på flykt innebar även en ökad risk att utsättas för våld eller hot om våld inom familjen, i synnerhet från sina makar”.","-Linda Jolof, Patricia Rocca, Tommy Carlsson (2022). Mitt hjärtas syster: Upplevelser av krig, tortyr och/eller flykt bland kvinnor och interventioner anpassade för dem – en litteraturstudie. Röda Korsets kompetenscenter för tortyr- och krigsskaderehabilitering."
Våld och krig,“En anledning till detta kunde vara att redan befintliga patriarkala strukturer i samhället förstärktes i samband med den instabilitet som uppstod till följd av krig. En annan anledning kunde vara att kvinnor begränsades till följd av hur männen i deras närhet reagerade på situationen.”,"Linda Jolof, Patricia Rocca, Tommy Carlsson (2022). Mitt hjärtas syster: Upplevelser av krig, tortyr och/eller flykt bland kvinnor och interventioner anpassade för dem – en litteraturstudie. Röda Korsets kompetenscenter för tortyr- och krigsskaderehabilitering."
